Variables,Usable Data (N),Usable Data (%)
StateID,369453,99.92
District_ID,369450,99.91
Taluka_ID,369450,99.91
HealthBlock_ID,369678,99.98
PHC_ID,369472,99.92
SubCentre_ID,369455,99.92
Village_ID,369678,99.98
Financial_Year,369455,99.92
Registration date,369450,99.91
Gender,369666,99.97
Date of Birth,369377,99.89
Birth Place,49464,13.38
Mother_RCH_ID_No,130508,35.29
Mother_Case_no,369388,99.9
Child_MCTS_ID_No,369196,99.85
Address,369479,99.92
Weight,333562,90.21
Fully_Immunized,355579,96.16
Received_AllVaccines,364604,98.6
BCG_Dt,283819,76.76
BCG_ANM_ID,283822,76.76
BCG_ASHA_ID,305988,82.75
OPV0_Dt,249085,67.36
OPV0_ANM_ID,244303,66.07
OPV0_ASHA_ID,242599,65.61
OPV1_Dt,255718,69.16
OPV1_ANM_ID,256094,69.26
OPV1_ASHA_ID,271922,73.54
OPV2_Dt,230669,62.38
OPV2_ANM_ID,230964,62.46
OPV2_ASHA_ID,244723,66.18
OPV3_Dt,207015,55.99
OPV3_ANM_ID,207309,56.06
OPV3_ASHA_ID,219637,59.4
OPVBooster_Dt,85714,23.18
OPVBooster_ANM_ID,86002,23.26
OPVBooster_ASHA_ID,90729,24.54
DPT1_Dt,171131,46.28
DPT1_ANM_ID,171192,46.3
DPT1_ASHA_ID,183006,49.49
DPT2_Dt,152626,41.28
DPT2_ANM_ID,152494,41.24
DPT2_ASHA_ID,163455,44.2
DPT3_Dt,135851,36.74
DPT3_ANM_ID,135804,36.73
DPT3_ASHA_ID,145487,39.35
DPTBooster1_Dt,18113,4.9
DPTBooster1_ANM_ID,6540,1.77
DPTBooster1_ASHA_ID,2149,0.58
DPTBooster2_Dt,69,0.02
DPTBooster2_ANM_ID,69,0.02
DPTBooster2_ASHA_ID,69,0.02
HepatitisB0_Dt,122606,33.16
HepatitisB0_ANM_ID,131569,35.58
HepatitisB0_ASHA_ID,135714,36.7
HepatitisB1_Dt,155950,42.18
HepatitisB1_ANM_ID,156540,42.33
HepatitisB1_ASHA_ID,166665,45.07
HepatitisB2_Dt,138164,37.37
HepatitisB2_ANM_ID,138050,37.33
HepatitisB2_ASHA_ID,148475,40.15
HepatitisB3_Dt,118797,32.13
HepatitisB3_ANM_ID,118684,32.1
HepatitisB3_ASHA_ID,128041,34.63
Penta1_Dt,89070,24.09
Penta1_ANM_ID,88983,24.06
Penta1_ASHA_ID,93125,25.18
Penta2_Dt,93271,25.22
Penta2_ANM_ID,92912,25.13
Penta2_ASHA_ID,92768,25.09
Penta3_Dt,87421,23.64
Penta3_ANM_ID,87035,23.54
Penta3_ASHA_ID,86898,23.5
Measles1_Dt,166953,45.15
Measles1_ANM_ID,167324,45.25
Measles1_ASHA_ID,179282,48.49
Measles2_Dt,148,0.04
Measles2_ANM_ID,199,0.05
Measles2_ASHA_ID,177,0.05
JE1_Dt,113515,30.7
JE1_ANM_ID,123369,33.36
JE1_ASHA_ID,126618,34.24
JE2_Dt,15801,4.27
JE2_ANM_ID,6026,1.63
JE2_ASHA_ID,2750,0.74
